bank_txn_id,transaction_id,utr_number,merchant_id,acquirer_bank,settlement_date,value_date,bank_settled_amount,charges_deducted,gst_deducted,currency_code,settlement_status,batch_id,neft_ifsc,mismatch_reason,narration
BNKTXN3032751,TXN0001855,UTR532773765547,MERCH0026,SBI,30-08-2024,31-08-2024,99224.7,1183.03,212.95,INR,SETTLED,BATCH202408283,HDFC9232,,Settlement for TXN0001855
BNKTXN4808752,TXN0001856,UTR666153939294,MERCH0012,PNB,01-05-2024,02-05-2024,69507.86,741.64,133.5,INR,SETTLED,BATCH202404303,HDFC5925,,Settlement for TXN0001856
BNKTXN1640140,TXN0001858,UTR912990371912,MERCH0029,SBI,16-07-2024,17-07-2024,66191.63,805.51,144.99,INR,SETTLED,BATCH202407143,HDFC8137,,Settlement for TXN0001858
BNKTXN1638064,TXN0001860,UTR443643644432,MERCH0048,Kotak,29-11-2024,30-11-2024,88852.73,873.37,157.21,INR,SETTLED,BATCH202411282,HDFC5460,,Settlement for TXN0001860
BNKTXN8015207,TXN0001862,UTR785710933853,MERCH0003,Kotak,04-05-2024,05-05-2024,124909.2,2175.22,391.54,INR,SETTLED,BATCH202405032,HDFC1450,,Settlement for TXN0001862
BNKTXN7023001,TXN0001864,UTR344633246568,MERCH0019,ICICI Bank,06-07-2024,07-07-2024,141776.02,2814.83,506.67,INR,SETTLED,BATCH202407053,HDFC9698,,Settlement for TXN0001864
BNKTXN6494361,TXN0001865,UTR851769659596,MERCH0021,HDFC Bank,01-07-2024,02-07-2024,142891.39,3079.27,554.27,INR,SETTLED,BATCH202406292,HDFC8624,Fee Rounding,Settlement for TXN0001865
BNKTXN1215079,TXN0001866,UTR842109222514,MERCH0022,Kotak,17-10-2024,18-10-2024,123830.12,2628.86,473.19,INR,SETTLED,BATCH202410152,HDFC3536,,Settlement for TXN0001866
BNKTXN5987498,TXN0001867,UTR426430297081,MERCH0015,SBI,07-09-2024,08-09-2024,61182.27,828.98,149.22,INR,SETTLED,BATCH202409061,HDFC8316,,Settlement for TXN0001867
BNKTXN7147509,TXN0001868,UTR922950149628,MERCH0017,PNB,22-05-2024,23-05-2024,131236.56,2642.61,475.67,INR,SETTLED,BATCH202405205,HDFC1054,,Settlement for TXN0001868
BNKTXN8434181,TXN0001870,UTR666948360943,MERCH0034,SBI,21-01-2024,22-01-2024,23092.13,324.44,58.4,INR,SETTLED,BATCH202401203,HDFC1894,,Settlement for TXN0001870
BNKTXN7130158,TXN0001871,UTR297266923257,MERCH0048,SBI,25-07-2024,26-07-2024,49203.28,959.69,172.74,INR,SETTLED,BATCH202407245,HDFC9364,,Settlement for TXN0001871
BNKTXN4786934,TXN0001873,UTR618068628868,MERCH0045,Kotak,11-02-2024,12-02-2024,140797.0,2667.28,480.11,INR,SETTLED,BATCH202402103,HDFC3352,,Settlement for TXN0001873
BNKTXN3349924,TXN0001875,UTR833183801693,MERCH0018,Kotak,08-11-2024,09-11-2024,40070.65,926.6,166.79,INR,SETTLED,BATCH202411062,HDFC7985,,Settlement for TXN0001875
BNKTXN4588988,TXN0001877,UTR391523133631,MERCH0019,Kotak,09-02-2024,10-02-2024,4620.69,89.66,16.14,INR,SETTLED,BATCH202402072,HDFC2976,,Settlement for TXN0001877
BNKTXN7124171,TXN0001878,UTR201295903177,MERCH0041,Kotak,19-01-2024,20-01-2024,87828.84,1412.07,254.17,INR,SETTLED,BATCH202401181,HDFC8291,,Settlement for TXN0001878
BNKTXN3184114,TXN0001881,UTR870272820400,MERCH0040,HDFC Bank,20-06-2024,21-06-2024,145001.11,1455.38,261.97,INR,SETTLED,BATCH202406182,HDFC3452,,Settlement for TXN0001881
BNKTXN7448358,TXN0001882,UTR160059324183,MERCH0009,SBI,01-09-2024,02-09-2024,26519.59,329.66,59.34,INR,SETTLED,BATCH202408314,HDFC3516,,Settlement for TXN0001882
BNKTXN5464984,TXN0001884,,MERCH0001,HDFC Bank,08-03-2024,09-03-2024,3949.84,84.68,15.24,INR,SETTLED,BATCH202403065,HDFC4440,,Settlement for TXN0001884
BNKTXN7146317,TXN0001885,UTR209941753040,MERCH0024,Kotak,10-04-2024,11-04-2024,34792.69,324.9,58.48,INR,SETTLED,BATCH202404091,HDFC8789,,Settlement for TXN0001885
BNKTXN2603450,TXN0001886,UTR485284677037,MERCH0033,Axis Bank,16-09-2024,17-09-2024,118236.21,1078.85,194.19,INR,SETTLED,BATCH202409151,HDFC2279,,Settlement for TXN0001886
BNKTXN1599184,TXN0001887,UTR583550172727,MERCH0042,SBI,11-01-2024,12-01-2024,96791.98,2206.93,397.25,INR,SETTLED,BATCH202401105,HDFC4192,,Settlement for TXN0001887
BNKTXN3418164,TXN0001890,UTR471170648579,MERCH0028,Axis Bank,05-06-2024,06-06-2024,68949.38,1436.73,258.61,INR,SETTLED,BATCH202406041,HDFC5190,,Settlement for TXN0001890
BNKTXN4874587,TXN0001892,UTR456767761952,MERCH0018,Yes Bank,13-08-2024,14-08-2024,145903.74,3615.57,650.8,INR,SETTLED,BATCH202408125,HDFC2725,,Settlement for TXN0001892
BNKTXN3488444,TXN0001893,UTR770223804534,MERCH0029,Axis Bank,03-11-2024,04-11-2024,48510.97,1188.4,213.91,INR,SETTLED,BATCH202411022,HDFC6738,,Settlement for TXN0001893
BNKTXN9140846,TXN0001894,UTR848987358727,MERCH0011,SBI,26-01-2024,27-01-2024,86461.29,1767.71,318.19,INR,SETTLED,BATCH202401243,HDFC7863,,Settlement for TXN0001894
BNKTXN1937217,TXN0001895,,MERCH0035,SBI,23-09-2024,24-09-2024,133894.69,1281.5,230.67,INR,SETTLED,BATCH202409222,HDFC6586,,Settlement for TXN0001895
BNKTXN9469425,TXN0001896,UTR391886762273,MERCH0022,PNB,04-05-2024,05-05-2024,100444.56,1126.83,202.83,INR,SETTLED,BATCH202405034,HDFC4074,,Settlement for TXN0001896
BNKTXN1767963,TXN0001897,UTR014215634526,MERCH0014,PNB,23-01-2024,24-01-2024,28815.94,389.09,70.04,INR,SETTLED,BATCH202401224,HDFC7772,,Settlement for TXN0001897
BNKTXN2679243,TXN0001898,UTR514344211175,MERCH0017,ICICI Bank,26-03-2024,27-03-2024,41968.64,564.05,101.53,INR,SETTLED,BATCH202403253,HDFC3639,,Settlement for TXN0001898
BNKTXN1936646,TXN0001899,UTR463815129116,MERCH0018,SBI,26-10-2024,27-10-2024,78645.65,1099.57,197.92,INR,SETTLED,BATCH202410244,HDFC3421,,Settlement for TXN0001899
BNKTXN5662304,TXN0001901,UTR007514518347,MERCH0037,HDFC Bank,26-05-2024,27-05-2024,17554.07,228.29,41.09,INR,SETTLED,BATCH202405255,HDFC9711,,Settlement for TXN0001901
BNKTXN7105111,TXN0001902,UTR124643786243,MERCH0048,ICICI Bank,13-04-2024,14-04-2024,11242.81,236.33,42.54,INR,SETTLED,BATCH202404114,HDFC8385,,Settlement for TXN0001902
BNKTXN5330480,TXN0001903,UTR374912187906,MERCH0022,HDFC Bank,15-02-2024,16-02-2024,127276.01,2468.58,444.34,INR,SETTLED,BATCH202402144,HDFC9738,,Settlement for TXN0001903
BNKTXN8837161,TXN0001904,UTR231600402728,MERCH0040,PNB,16-05-2024,17-05-2024,133160.08,1903.69,342.66,INR,SETTLED,BATCH202405152,HDFC5858,,Settlement for TXN0001904
BNKTXN9779371,TXN0001905,UTR984250796699,MERCH0041,ICICI Bank,10-03-2024,11-03-2024,11785.93,252.33,45.42,INR,SETTLED,BATCH202403081,HDFC5827,,Settlement for TXN0001905
BNKTXN5046492,TXN0001906,UTR737238615952,MERCH0034,Yes Bank,04-02-2024,05-02-2024,38288.99,356.37,64.15,INR,SETTLED,BATCH202402023,HDFC5427,,Settlement for TXN0001906
BNKTXN7102634,TXN0001909,UTR504390356028,MERCH0023,Kotak,24-05-2024,25-05-2024,107554.73,1923.28,346.19,INR,SETTLED,BATCH202405234,HDFC9411,,Settlement for TXN0001909
BNKTXN6115631,TXN0001910,UTR607512101842,MERCH0025,Axis Bank,28-11-2024,29-11-2024,45362.29,760.47,136.88,INR,SETTLED,BATCH202411273,HDFC5066,,Settlement for TXN0001910
BNKTXN6388883,TXN0001913,UTR525122584679,MERCH0041,Yes Bank,28-06-2024,29-06-2024,126647.66,2316.47,416.96,INR,SETTLED,BATCH202406272,HDFC2643,,Settlement for TXN0001913
BNKTXN2851533,TXN0001915,UTR203854070084,MERCH0049,Kotak,10-04-2024,11-04-2024,137659.59,2647.49,476.55,INR,SETTLED,BATCH202404082,HDFC5546,Fee Rounding,Settlement for TXN0001915
BNKTXN4547113,TXN0001917,UTR620408520633,MERCH0017,HDFC Bank,10-05-2024,11-05-2024,10477.42,117.53,21.16,INR,SETTLED,BATCH202405094,HDFC5009,,Settlement for TXN0001917
BNKTXN6906729,TXN0001918,UTR933804191716,MERCH0004,PNB,25-06-2024,26-06-2024,56553.22,837.28,150.71,INR,SETTLED,BATCH202406231,HDFC3964,,Settlement for TXN0001918
BNKTXN3664714,TXN0001919,UTR602093137880,MERCH0047,HDFC Bank,25-04-2024,26-04-2024,44528.31,710.9,127.96,INR,SETTLED,BATCH202404234,HDFC7401,,Settlement for TXN0001919
BNKTXN7438899,TXN0001920,UTR764554590348,MERCH0008,PNB,28-06-2024,29-06-2024,126151.47,1852.61,333.47,INR,SETTLED,BATCH202406262,HDFC5374,,Settlement for TXN0001920
BNKTXN7357534,TXN0001921,UTR939553308923,MERCH0045,Yes Bank,27-10-2024,28-10-2024,133793.76,1519.77,273.56,INR,SETTLED,BATCH202410263,HDFC6277,Fee Rounding,Settlement for TXN0001921
BNKTXN2501069,TXN0001922,UTR702640626067,MERCH0019,Yes Bank,02-05-2024,03-05-2024,44172.99,1088.88,196.0,INR,SETTLED,BATCH202404303,HDFC8166,Partial Settlement,Settlement for TXN0001922
BNKTXN2514922,TXN0001923,,MERCH0038,Axis Bank,13-11-2024,14-11-2024,15769.05,387.26,69.71,INR,SETTLED,BATCH202411124,HDFC9410,Fee Rounding,Settlement for TXN0001923
BNKTXN3452114,TXN0001924,UTR589377125828,MERCH0017,Kotak,15-05-2024,16-05-2024,33624.04,747.99,134.64,INR,SETTLED,BATCH202405135,HDFC1133,,Settlement for TXN0001924
BNKTXN5096342,TXN0001926,UTR645239004152,MERCH0020,Axis Bank,03-05-2024,04-05-2024,146220.57,3745.4,674.17,INR,SETTLED,BATCH202405013,HDFC5853,,Settlement for TXN0001926
BNKTXN4867419,TXN0001927,UTR795014670936,MERCH0032,HDFC Bank,10-04-2024,11-04-2024,10223.8,191.72,34.51,INR,SETTLED,BATCH202404095,HDFC8038,,Settlement for TXN0001927
BNKTXN3928983,TXN0001928,UTR073460316134,MERCH0001,Kotak,25-01-2024,26-01-2024,11360.45,193.38,34.81,INR,SETTLED,BATCH202401231,HDFC9434,,Settlement for TXN0001928
BNKTXN2552862,TXN0001929,UTR283286785150,MERCH0028,Kotak,15-04-2024,16-04-2024,26276.87,387.3,69.71,INR,SETTLED,BATCH202404144,HDFC2661,,Settlement for TXN0001929
BNKTXN1289777,TXN0001931,UTR516113395632,MERCH0009,HDFC Bank,01-06-2024,02-06-2024,50117.2,1185.64,213.42,INR,SETTLED,BATCH202405305,HDFC8783,Fee Rounding,Settlement for TXN0001931
BNKTXN7145962,TXN0001932,UTR974869784879,MERCH0049,Axis Bank,29-01-2024,30-01-2024,21397.03,444.35,79.98,INR,SETTLED,BATCH202401271,HDFC2475,,Settlement for TXN0001932
BNKTXN4179742,TXN0001935,UTR063567357756,MERCH0040,PNB,29-03-2024,30-03-2024,116835.34,1392.78,250.7,INR,SETTLED,BATCH202403283,HDFC3122,,Settlement for TXN0001935
BNKTXN2186828,TXN0001937,UTR635235611882,MERCH0001,HDFC Bank,26-10-2024,27-10-2024,44805.84,919.83,165.57,INR,SETTLED,BATCH202410245,HDFC6541,,Settlement for TXN0001937
BNKTXN7459820,TXN0001938,UTR531112817790,MERCH0014,Axis Bank,17-07-2024,18-07-2024,20644.04,210.08,37.81,INR,SETTLED,BATCH202407152,HDFC5281,,Settlement for TXN0001938
BNKTXN2061758,TXN0001940,UTR132452756719,MERCH0041,PNB,20-11-2024,21-11-2024,50751.58,1036.59,186.59,INR,SETTLED,BATCH202411192,HDFC2239,,Settlement for TXN0001940
BNKTXN6355072,TXN0001941,UTR265249489185,MERCH0011,SBI,25-05-2024,26-05-2024,9084.19,200.88,36.16,INR,SETTLED,BATCH202405231,HDFC7372,,Settlement for TXN0001941
BNKTXN2427203,TXN0001942,UTR136165765282,MERCH0009,PNB,17-02-2024,18-02-2024,73532.38,990.55,178.3,INR,SETTLED,BATCH202402163,HDFC3595,,Settlement for TXN0001942
BNKTXN4053320,TXN0001943,UTR434577661388,MERCH0028,HDFC Bank,29-11-2024,30-11-2024,83192.5,1114.25,200.56,INR,SETTLED,BATCH202411281,HDFC5742,,Settlement for TXN0001943
BNKTXN8436307,TXN0001944,UTR323959360194,MERCH0006,HDFC Bank,28-09-2024,29-09-2024,59104.83,967.01,174.06,INR,SETTLED,BATCH202409273,HDFC9008,,Settlement for TXN0001944
BNKTXN4080765,TXN0001945,UTR720203388112,MERCH0001,Axis Bank,10-06-2024,11-06-2024,78259.07,2000.38,360.07,INR,SETTLED,BATCH202406082,HDFC7592,,Settlement for TXN0001945
BNKTXN6449282,TXN0001946,UTR483656707190,MERCH0023,Axis Bank,06-03-2024,07-03-2024,65683.58,913.97,164.51,INR,SETTLED,BATCH202403042,HDFC9691,,Settlement for TXN0001946
BNKTXN9898313,TXN0001947,UTR931649095468,MERCH0042,Yes Bank,10-07-2024,11-07-2024,57743.06,951.41,171.25,INR,SETTLED,BATCH202407081,HDFC9307,,Settlement for TXN0001947
BNKTXN3548019,TXN0001948,UTR531292662547,MERCH0050,Yes Bank,20-07-2024,21-07-2024,18297.53,423.04,76.15,INR,SETTLED,BATCH202407193,HDFC4639,,Settlement for TXN0001948
BNKTXN8408380,TXN0001949,UTR597000190073,MERCH0034,ICICI Bank,30-04-2024,01-05-2024,43634.2,483.28,86.99,INR,SETTLED,BATCH202404282,HDFC4824,,Settlement for TXN0001949
BNKTXN9795610,TXN0001950,UTR908941319859,MERCH0025,Kotak,10-10-2024,11-10-2024,59217.41,1095.23,197.14,INR,SETTLED,BATCH202410091,HDFC7351,,Settlement for TXN0001950
BNKTXN1644625,TXN0001951,UTR251119035940,MERCH0037,Yes Bank,08-01-2024,09-01-2024,97159.48,1901.82,342.33,INR,SETTLED,BATCH202401063,HDFC9882,,Settlement for TXN0001951
BNKTXN7783627,TXN0001953,UTR895134039978,MERCH0014,ICICI Bank,01-06-2024,02-06-2024,92814.64,2117.19,381.09,INR,SETTLED,BATCH202405312,HDFC4838,,Settlement for TXN0001953
BNKTXN8400296,TXN0001954,UTR939702663820,MERCH0031,ICICI Bank,25-07-2024,26-07-2024,35141.82,718.98,129.42,INR,SETTLED,BATCH202407241,HDFC4897,,Settlement for TXN0001954
BNKTXN5412677,TXN0001955,UTR057767719288,MERCH0039,PNB,29-03-2024,30-03-2024,119824.76,2090.81,376.35,INR,SETTLED,BATCH202403272,HDFC4274,,Settlement for TXN0001955
BNKTXN5347600,TXN0001956,UTR230360677871,MERCH0039,ICICI Bank,05-05-2024,06-05-2024,52641.48,1018.9,183.4,INR,SETTLED,BATCH202405044,HDFC3058,,Settlement for TXN0001956
BNKTXN9165299,TXN0001958,UTR448825269901,MERCH0034,PNB,04-05-2024,05-05-2024,26266.18,429.65,77.34,INR,SETTLED,BATCH202405023,HDFC9601,,Settlement for TXN0001958
BNKTXN4444126,TXN0001961,UTR860345633389,MERCH0010,Kotak,12-04-2024,13-04-2024,26215.94,446.81,80.43,INR,SETTLED,BATCH202404103,HDFC7691,,Settlement for TXN0001961
BNKTXN5326630,TXN0001962,UTR782638803242,MERCH0030,HDFC Bank,22-01-2024,23-01-2024,130198.96,1901.71,342.31,INR,SETTLED,BATCH202401214,HDFC4811,,Settlement for TXN0001962
BNKTXN1177075,TXN0001963,,MERCH0031,PNB,05-10-2024,06-10-2024,93075.87,1733.12,311.96,INR,SETTLED,BATCH202410044,HDFC5737,,Settlement for TXN0001963
BNKTXN8726092,TXN0001964,UTR294123280625,MERCH0016,ICICI Bank,11-08-2024,12-08-2024,18125.0,346.74,62.41,INR,SETTLED,BATCH202408095,HDFC9559,,Settlement for TXN0001964
BNKTXN5769313,TXN0001965,UTR588314003563,MERCH0002,Kotak,18-04-2024,19-04-2024,124125.57,2379.13,428.24,INR,SETTLED,BATCH202404163,HDFC3069,,Settlement for TXN0001965
BNKTXN3123804,TXN0001967,UTR086286856434,MERCH0029,Yes Bank,12-09-2024,13-09-2024,114392.73,2537.4,456.73,INR,SETTLED,BATCH202409112,HDFC1388,,Settlement for TXN0001967
BNKTXN2807951,TXN0001969,UTR601726280336,MERCH0020,Kotak,24-03-2024,25-03-2024,2471.17,44.95,8.09,INR,SETTLED,BATCH202403224,HDFC5532,,Settlement for TXN0001969
BNKTXN2487792,TXN0001970,UTR303101663662,MERCH0049,ICICI Bank,11-08-2024,12-08-2024,119508.26,1553.55,279.64,INR,SETTLED,BATCH202408091,HDFC2020,,Settlement for TXN0001970
BNKTXN7526758,TXN0001971,UTR622951108486,MERCH0006,Yes Bank,19-10-2024,20-10-2024,66476.34,1608.2,289.48,INR,SETTLED,BATCH202410181,HDFC4887,,Settlement for TXN0001971
BNKTXN7332591,TXN0001972,UTR749538916244,MERCH0005,Axis Bank,02-06-2024,03-06-2024,86988.75,1702.36,306.42,INR,SETTLED,BATCH202405315,HDFC2526,,Settlement for TXN0001972
BNKTXN3203630,TXN0001974,UTR071107298502,MERCH0016,ICICI Bank,25-03-2024,26-03-2024,50928.35,1086.09,195.5,INR,SETTLED,BATCH202403231,HDFC2891,,Settlement for TXN0001974
BNKTXN1363140,TXN0001975,UTR317147955412,MERCH0037,ICICI Bank,18-06-2024,19-06-2024,49787.64,1218.09,219.26,INR,SETTLED,BATCH202406172,HDFC6351,,Settlement for TXN0001975
BNKTXN9946905,TXN0001976,UTR520895217680,MERCH0008,Kotak,15-11-2024,16-11-2024,98946.16,1791.31,322.44,INR,SETTLED,BATCH202411143,HDFC3836,,Settlement for TXN0001976
BNKTXN7112200,TXN0001977,UTR249139430325,MERCH0003,ICICI Bank,27-11-2024,28-11-2024,107774.05,2739.59,493.13,INR,SETTLED,BATCH202411262,HDFC1988,,Settlement for TXN0001977
BNKTXN1399959,TXN0001978,UTR376543999428,MERCH0049,HDFC Bank,17-07-2024,18-07-2024,111093.62,2720.84,489.75,INR,SETTLED,BATCH202407151,HDFC2817,,Settlement for TXN0001978
BNKTXN2017095,TXN0001979,UTR290850504871,MERCH0022,PNB,07-09-2024,08-09-2024,81888.57,1627.37,292.93,INR,SETTLED,BATCH202409052,HDFC6407,,Settlement for TXN0001979
BNKTXN9999828,TXN0001980,UTR479391171740,MERCH0002,ICICI Bank,10-07-2024,11-07-2024,7742.89,102.38,18.43,INR,SETTLED,BATCH202407083,HDFC8630,,Settlement for TXN0001980
BNKTXN8946071,TXN0001981,UTR496660723660,MERCH0050,ICICI Bank,08-05-2024,09-05-2024,30827.5,428.21,77.08,INR,SETTLED,BATCH202405071,HDFC1757,,Settlement for TXN0001981
BNKTXN1384523,TXN0001982,UTR252894043935,MERCH0008,SBI,31-07-2024,01-08-2024,87634.99,1517.11,273.08,INR,SETTLED,BATCH202407293,HDFC3658,,Settlement for TXN0001982
BNKTXN4491555,TXN0001983,UTR803163678175,MERCH0010,HDFC Bank,22-06-2024,23-06-2024,63451.19,1161.1,209.0,INR,SETTLED,BATCH202406204,HDFC5729,,Settlement for TXN0001983
BNKTXN5879506,TXN0001986,UTR974754737704,MERCH0049,HDFC Bank,23-04-2024,24-04-2024,12419.5,239.38,43.09,INR,SETTLED,BATCH202404224,HDFC6302,,Settlement for TXN0001986
BNKTXN2348800,TXN0001988,UTR910804175694,MERCH0014,PNB,11-01-2024,12-01-2024,116208.01,2376.69,427.8,INR,SETTLED,BATCH202401095,HDFC9991,Partial Settlement,Settlement for TXN0001988
BNKTXN9134703,TXN0001989,UTR991658723634,MERCH0049,HDFC Bank,16-09-2024,17-09-2024,105235.43,2614.96,470.69,INR,SETTLED,BATCH202409143,HDFC5208,,Settlement for TXN0001989
BNKTXN4948550,TXN0001990,UTR265728182912,MERCH0032,Yes Bank,05-08-2024,06-08-2024,138453.23,1506.81,271.23,INR,SETTLED,BATCH202408035,HDFC7075,,Settlement for TXN0001990
BNKTXN5509998,TXN0001991,UTR608415855373,MERCH0004,Axis Bank,10-09-2024,11-09-2024,100068.65,1013.21,182.38,INR,SETTLED,BATCH202409085,HDFC9161,,Settlement for TXN0001991
BNKTXN8452611,TXN0001993,UTR756023106407,MERCH0050,SBI,19-10-2024,20-10-2024,110470.13,1494.47,269.0,INR,SETTLED,BATCH202410182,HDFC3580,,Settlement for TXN0001993
BNKTXN3358126,TXN0001994,UTR273449799251,MERCH0042,Yes Bank,13-10-2024,14-10-2024,48487.82,1074.13,193.34,INR,SETTLED,BATCH202410114,HDFC6989,,Settlement for TXN0001994
BNKTXN1258699,TXN0001996,UTR677185360174,MERCH0015,HDFC Bank,16-08-2024,17-08-2024,95359.91,1791.62,322.49,INR,SETTLED,BATCH202408154,HDFC7529,,Settlement for TXN0001996
BNKTXN3594794,TXN0001997,UTR775270712797,MERCH0007,SBI,20-01-2024,21-01-2024,14687.0,298.41,53.71,INR,SETTLED,BATCH202401193,HDFC7806,,Settlement for TXN0001997
BNKTXN8206256,TXN0001998,UTR438817676227,MERCH0003,ICICI Bank,28-09-2024,29-09-2024,90288.47,854.58,153.82,INR,SETTLED,BATCH202409274,HDFC1719,,Settlement for TXN0001998
BNKTXN3965861,TXN0001999,UTR725604678203,MERCH0028,Axis Bank,12-08-2024,13-08-2024,147334.61,1995.71,359.23,INR,SETTLED,BATCH202408113,HDFC3733,Fee Rounding,Settlement for TXN0001999
BNKTXN2116270,TXN0002000,UTR973122066766,MERCH0021,ICICI Bank,16-09-2024,17-09-2024,9618.93,127.86,23.01,INR,SETTLED,BATCH202409142,HDFC8414,,Settlement for TXN0002000
BNKTXN1589166,TXN0002001,UTR943532861780,MERCH0024,SBI,03-03-2024,04-03-2024,102138.77,1617.56,291.16,INR,SETTLED,BATCH202403013,HDFC7513,,Settlement for TXN0002001
BNKTXN9470768,TXN0002002,UTR886455526151,MERCH0002,Yes Bank,30-03-2024,31-03-2024,114502.86,1873.34,337.2,INR,SETTLED,BATCH202403281,HDFC5687,,Settlement for TXN0002002
BNKTXN4693232,TXN0002003,UTR441235998962,MERCH0021,Kotak,03-03-2024,04-03-2024,82864.82,1476.45,265.76,INR,SETTLED,BATCH202403012,HDFC4983,,Settlement for TXN0002003
BNKTXN4486104,TXN0002004,UTR151797519378,MERCH0017,SBI,18-06-2024,19-06-2024,27551.41,552.18,99.39,INR,SETTLED,BATCH202406162,HDFC6329,,Settlement for TXN0002004
BNKTXN5053348,TXN0002006,UTR526532224708,MERCH0007,ICICI Bank,16-04-2024,17-04-2024,40995.44,625.45,112.58,INR,SETTLED,BATCH202404145,HDFC2313,,Settlement for TXN0002006
BNKTXN6865348,TXN0002007,UTR943748126817,MERCH0049,HDFC Bank,30-01-2024,31-01-2024,6434.16,147.7,26.59,INR,SETTLED,BATCH202401295,HDFC4181,,Settlement for TXN0002007
BNKTXN7249059,TXN0002009,UTR105635869902,MERCH0007,HDFC Bank,21-04-2024,22-04-2024,146434.94,2660.74,478.93,INR,SETTLED,BATCH202404194,HDFC7339,,Settlement for TXN0002009
BNKTXN5604431,TXN0002010,UTR467642812598,MERCH0013,HDFC Bank,13-06-2024,14-06-2024,94395.42,1104.84,198.87,INR,SETTLED,BATCH202406115,HDFC6864,Fee Rounding,Settlement for TXN0002010
BNKTXN3975291,TXN0002012,UTR166578130499,MERCH0023,SBI,18-10-2024,19-10-2024,101298.72,1744.21,313.96,INR,SETTLED,BATCH202410164,HDFC8673,,Settlement for TXN0002012
BNKTXN9192038,TXN0002013,UTR953223072487,MERCH0025,SBI,11-09-2024,12-09-2024,5877.2,90.53,16.3,INR,SETTLED,BATCH202409095,HDFC9122,,Settlement for TXN0002013
BNKTXN6128128,TXN0002016,UTR965693259627,MERCH0028,SBI,08-08-2024,09-08-2024,87629.7,817.5,147.15,INR,SETTLED,BATCH202408072,HDFC5501,,Settlement for TXN0002016
BNKTXN1047432,TXN0002017,UTR399557802280,MERCH0006,HDFC Bank,11-11-2024,12-11-2024,134381.23,1489.72,268.15,INR,SETTLED,BATCH202411095,HDFC5978,,Settlement for TXN0002017
BNKTXN4936231,TXN0002018,UTR944735341439,MERCH0005,SBI,22-05-2024,23-05-2024,110149.11,2198.49,395.73,INR,SETTLED,BATCH202405201,HDFC6083,,Settlement for TXN0002018
BNKTXN3196432,TXN0002019,UTR066747720110,MERCH0019,SBI,23-11-2024,24-11-2024,69047.8,1277.81,230.01,INR,SETTLED,BATCH202411212,HDFC2588,,Settlement for TXN0002019
BNKTXN7234191,TXN0002021,UTR575021885211,MERCH0019,Axis Bank,24-10-2024,25-10-2024,26815.34,444.3,79.97,INR,SETTLED,BATCH202410234,HDFC9324,,Settlement for TXN0002021
BNKTXN5152988,TXN0002023,UTR358947706939,MERCH0012,SBI,09-05-2024,10-05-2024,129835.59,2832.43,509.84,INR,SETTLED,BATCH202405081,HDFC3171,,Settlement for TXN0002023
BNKTXN7126531,TXN0002024,UTR794677818986,MERCH0014,PNB,05-05-2024,06-05-2024,61744.85,1237.13,222.68,INR,SETTLED,BATCH202405035,HDFC9129,,Settlement for TXN0002024
BNKTXN5029458,TXN0002026,UTR377962638965,MERCH0019,Axis Bank,03-09-2024,04-09-2024,12975.85,177.47,31.94,INR,SETTLED,BATCH202409024,HDFC7640,,Settlement for TXN0002026
BNKTXN6895223,TXN0002028,UTR671080045872,MERCH0018,Axis Bank,13-02-2024,14-02-2024,112129.13,1096.47,197.36,INR,SETTLED,BATCH202402115,HDFC4728,,Settlement for TXN0002028
BNKTXN3620386,TXN0002029,UTR305171972512,MERCH0042,SBI,15-06-2024,16-06-2024,90843.55,2049.0,368.82,INR,SETTLED,BATCH202406134,HDFC9706,,Settlement for TXN0002029
BNKTXN4311444,TXN0002030,UTR265875031049,MERCH0029,ICICI Bank,25-05-2024,26-05-2024,73754.81,926.26,166.73,INR,SETTLED,BATCH202405244,HDFC9612,,Settlement for TXN0002030
BNKTXN9387232,TXN0002031,UTR619907466697,MERCH0043,SBI,03-09-2024,04-09-2024,128891.08,1233.26,221.99,INR,SETTLED,BATCH202409011,HDFC7714,,Settlement for TXN0002031
BNKTXN6757138,TXN0002032,UTR683032536952,MERCH0024,Axis Bank,18-02-2024,19-02-2024,113502.74,1715.84,308.85,INR,SETTLED,BATCH202402164,HDFC7796,,Settlement for TXN0002032
BNKTXN6492639,TXN0002033,UTR072839476461,MERCH0012,HDFC Bank,22-03-2024,23-03-2024,142359.34,3075.8,553.64,INR,SETTLED,BATCH202403215,HDFC6434,Fee Rounding,Settlement for TXN0002033
BNKTXN9634499,TXN0002035,UTR630063621051,MERCH0025,Axis Bank,16-08-2024,17-08-2024,123614.43,1919.66,345.54,INR,SETTLED,BATCH202408141,HDFC9931,,Settlement for TXN0002035
BNKTXN4184255,TXN0002036,UTR373965272959,MERCH0048,Axis Bank,23-11-2024,24-11-2024,30114.23,597.8,107.6,INR,SETTLED,BATCH202411211,HDFC4677,,Settlement for TXN0002036
BNKTXN1344796,TXN0002037,UTR129969915482,MERCH0031,Yes Bank,21-05-2024,22-05-2024,106120.73,1027.65,184.98,INR,SETTLED,BATCH202405201,HDFC1434,,Settlement for TXN0002037
